BlockId,y_true,score_dbscan,pred_dbscan
blk_-3544583377289625738,1,3.0890145301818848,1
blk_-4513615671112005170,0,0.0,0
blk_-1385756122847916710,0,0.0,0
blk_-3667585438930153850,0,0.0,0
blk_3522654861930890662,0,0.0,0
blk_8814359467727556626,0,0.0,0
blk_4856031730010032819,0,1.6858739115832577e-07,0
blk_6678472565712118087,0,0.0,0
blk_2646137657036117634,0,1.6858739115832577e-07,0
blk_38171424126089923,0,1.6858739115832577e-07,0
blk_4083337788449963064,0,1.6858739115832577e-07,0
blk_-2667064017324592326,0,1.6858739115832577e-07,0
blk_-3407920531979306897,0,0.0,0
blk_7182298358730791197,0,0.0,0
blk_-5143286617671754617,0,0.0,0
blk_8183815269486695335,0,0.0,0
blk_3647098096660331647,0,0.0,0
blk_7031936135774406790,0,0.0,0
blk_-2965566789783719201,0,1.6858739115832577e-07,0
blk_-3005274241419157270,0,0.0,0
blk_2597659943452218395,0,0.0,0
blk_6609144330049651960,0,0.0,0
blk_8579301465840265748,0,0.0,0
blk_-1868015545055942226,0,0.0,0
blk_1263821186434394299,0,0.0,0
blk_5165801969915470204,0,0.0,0
blk_-5528113440193562958,0,0.0,0
blk_-6080475336943888471,0,0.0,0
blk_-8991914002966004726,0,0.0,0
blk_1005764473802773954,0,0.0,0
blk_5850743196591433560,0,0.0,0
blk_-3123380318340518714,0,0.0,0
blk_3315047161001772510,0,0.0,0
blk_749936523660590443,0,0.0,0
blk_-6946479245250719763,0,0.0,0
blk_1329134914737185064,0,0.0,0
blk_-4577193670204126134,0,0.0,0
blk_-2204995146652735082,0,0.0,0
blk_83011911604328233,0,0.0,0
blk_-5855948009120163806,0,0.0,0
blk_7183130434977249731,0,0.0,0
blk_5686050786173308519,0,0.0,0
blk_-6124450708379864613,0,0.0,0
blk_-5557105176152778802,0,0.0,0
blk_-7726798057831307366,0,0.0,0
blk_-3634129476677736855,0,0.0,0
blk_3206591630924866263,0,0.0,0
blk_-6220004753645739802,0,0.0,0
blk_-2942348081186881566,0,0.0,0
blk_6234382026295468952,0,0.0,0
blk_5766851074090750602,0,0.0,0
blk_1996733273985027642,0,0.0,0
blk_-1388696405279305133,0,0.0,0
blk_-821991238416755984,0,0.0,0
blk_-1893423119954937204,0,0.0,0
blk_4942998120705839574,0,0.0,0
blk_-8776026722404695145,0,0.0,0
blk_7575910878683030207,0,0.0,0
blk_-387741725893514538,0,0.0,0
blk_1293132081019003615,0,0.0,0
blk_7360166023474051356,0,0.0,0
blk_3300189061705729264,0,0.0,0
blk_5018624663824385618,0,0.0,0
blk_-1837976175046044589,0,0.0,0
blk_3733699983655478771,0,0.0,0
blk_8963052321499171482,1,6.582251071929932,1
blk_8868373593483263710,0,0.0,0
blk_3420595881634221975,0,0.0,0
blk_1163915157540053377,0,0.0,0
blk_-7304485340697352314,0,0.0,0
blk_-7908757307240665002,0,0.0,0
blk_-5422491223454382862,0,0.0,0
blk_-3031848015205221729,0,0.0,0
blk_8735034563117017230,0,0.0,0
blk_7898380582603586625,0,0.0,0
blk_-1542070061864458479,0,0.0,0
blk_2149728827322918746,0,0.0,0
blk_6762571733796142908,0,0.0,0
blk_8072472953629617733,0,0.0,0
blk_-1852461660074696275,0,0.0,0
blk_-4997356237084078057,0,0.0,0
blk_3155202909730334813,0,0.0,0
blk_-2395278670196448513,0,0.0,0
blk_6510375913907185934,0,0.0,0
blk_-2706912306489512868,0,0.0,0
blk_6865841608344497591,0,0.0,0
blk_-1826247045949451951,0,0.0,0
blk_3453704704640899243,0,0.0,0
blk_-4265125832367011529,0,0.0,0
blk_-5385849387118604908,0,0.0,0
blk_5356043036107891231,0,0.0,0
blk_-2897655469891048865,0,0.0,0
blk_-8403885099241100591,0,0.0,0
blk_-5632077416345354595,0,0.0,0
blk_-91432804283851948,0,8.429369557916289e-08,0
blk_-1304321836760140315,0,0.0,0
blk_61436514893364328,0,0.0,0
blk_-7403016268243448407,0,0.0,0
blk_397028259025382159,0,0.0,0
blk_708509238301532717,0,0.0,0
blk_5341147338373487456,0,0.0,0
blk_8591542202077771197,1,3.3717478231665154e-07,1
blk_-8155237096502090092,0,0.0,0
blk_-4425116297166526474,0,0.0,0
blk_-7203785233557014518,0,0.0,0
blk_6244124156840726054,0,0.0,0
blk_7434594527658857386,0,0.0,0
blk_6500160268110250004,0,0.0,0
blk_2003467785092108464,0,0.0,0
blk_1907193123990348590,1,3.3717478231665154e-07,1
blk_-6734081660378278398,0,0.0,0
blk_-2225888622985681791,0,0.0,0
blk_1331599298889698224,0,0.0,0
blk_-3409167737062586221,0,0.0,0
blk_8055732282536177581,0,0.0,0
blk_-7654560734491838127,0,0.0,0
blk_-968946310297135118,0,0.0,0
blk_-6507123682856033222,0,0.0,0
blk_1540434117883234974,0,0.0,0
blk_-4154983387144245959,0,0.0,0
blk_-8373451839576259312,0,0.0,0
blk_-6017128724233416423,0,0.0,0
blk_-8545000912759095202,0,0.0,0
blk_865658511739857578,0,0.0,0
blk_6490219411748780306,0,0.0,0
blk_3672459453737288146,0,0.0,0
blk_-7492251399114045042,0,0.0,0
blk_481803732862126335,0,0.0,0
blk_6372730006031999886,0,0.0,0
blk_-8311086339924576362,0,0.0,0
blk_-9071758809018946949,0,0.0,0
blk_-8751430031300869919,0,0.0,0
blk_8718546775520168882,0,0.0,0
blk_2639512661454336192,0,0.0,0
blk_-713872392891501075,0,0.0,0
blk_6202843087144609954,0,0.0,0
blk_-8933687403704794854,0,0.0,0
blk_8213962517275931949,0,0.0,0
blk_-4127981976039029641,0,0.0,0
blk_9097589278338830437,1,6.578214168548584,1
blk_-4600828691964089433,0,0.0,0
blk_8561387533798616307,0,0.0,0
blk_-7652968162044598536,0,0.0,0
blk_-715403788829056759,0,0.0,0
blk_2765909506808566429,0,0.0,0
blk_-8060193638280842709,0,0.0,0
blk_-8638778811010247024,0,0.0,0
blk_-7300835887062415762,0,0.0,0
blk_1026709472162480061,0,0.0,0
blk_4683621961716800358,0,0.0,0
blk_-2195201456641508025,1,0.0,0
blk_432918229494965736,0,0.0,0
blk_-7756654665740031310,0,0.0,0
blk_8031520013621007047,0,0.0,0
blk_1243636815645313137,0,0.0,0
blk_-2411112741360402213,0,0.0,0
blk_74526572779202301,0,8.429369557916289e-08,0
blk_940634972741483288,0,0.0,0
blk_-3851103428183249,0,0.0,0
blk_852377736895421769,0,0.0,0
blk_-8034831730874008276,0,0.0,0
blk_6894611178889010356,0,0.0,0
blk_3578383221532715972,0,0.0,0
blk_5142953981503367143,0,8.429369557916289e-08,0
blk_3612656771142794646,0,0.0,0
blk_6140155344139796160,0,0.0,0
blk_2786502979472789668,0,0.0,0
blk_7618159856659185153,0,0.0,0
blk_-5552198950251170428,0,0.0,0
blk_-860867545572869811,0,0.0,0
blk_8729768707867317330,1,6.582251071929932,1
blk_7370663492155908295,0,0.0,0
blk_489169157920072718,0,0.0,0
